threshold,accuracy,macro_f1,task2_precision,task2_recall,task2_f1,task2_support,task2_false_negatives,task2_false_positives
0.05,0.9666666666666667,0.9671945940238623,0.9130434782608695,1.0,0.9545454545454546,21,0,2
0.1,0.9833333333333333,0.9841179807146908,0.9545454545454546,1.0,0.9767441860465116,21,0,1
0.15,0.9666666666666667,0.9669878938171621,0.9523809523809523,0.9523809523809523,0.9523809523809523,21,1,1
0.2,0.9833333333333333,0.9828609096901779,1.0,0.9523809523809523,0.975609756097561,21,1,0
0.25,0.9833333333333333,0.9828609096901779,1.0,0.9523809523809523,0.975609756097561,21,1,0
0.3,0.9666666666666667,0.9657894736842105,1.0,0.9047619047619048,0.95,21,2,0
0.35,0.9666666666666667,0.9657894736842105,1.0,0.9047619047619048,0.95,21,2,0
0.4,0.9666666666666667,0.9657894736842105,1.0,0.9047619047619048,0.95,21,2,0
0.45,0.9666666666666667,0.9657894736842105,1.0,0.9047619047619048,0.95,21,2,0
0.5,0.9666666666666667,0.9657894736842105,1.0,0.9047619047619048,0.95,21,2,0
0.55,0.9666666666666667,0.9657894736842105,1.0,0.9047619047619048,0.95,21,2,0
0.6,0.9666666666666667,0.9657894736842105,1.0,0.9047619047619048,0.95,21,2,0
0.65,0.9666666666666667,0.9657894736842105,1.0,0.9047619047619048,0.95,21,2,0
0.7,0.9666666666666667,0.9657894736842105,1.0,0.9047619047619048,0.95,21,2,0
0.75,0.9666666666666667,0.9657894736842105,1.0,0.9047619047619048,0.95,21,2,0
0.8,0.9666666666666667,0.9657894736842105,1.0,0.9047619047619048,0.95,21,2,0
0.85,0.9666666666666667,0.9657894736842105,1.0,0.9047619047619048,0.95,21,2,0
0.9,0.9666666666666667,0.9657894736842105,1.0,0.9047619047619048,0.95,21,2,0
0.95,0.9666666666666667,0.9657894736842105,1.0,0.9047619047619048,0.95,21,2,0
